"ï»¿Domain Code","Domain","Area Code (M49)","Year Code","Year","Item Code","Item","Months Code","Months","Element Code","Element","Unit","Value","data_reliability_flag","Flag Description","Note","CountryName","InflationSince2015","YoY_Food_Inflation"
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,6125,Value,"",99.896009,I,Imputed value,base year is 2015,Australia,-0.1039909999999935,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,6125,Value,"",99.960066,I,Imputed value,base year is 2015,Australia,-0.039934000000002357,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,6125,Value,"",100.024122,A,Official figure,base year is 2015,Australia,0.024122000000005528,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,6125,Value,"",99.960066,I,Imputed value,base year is 2015,Australia,-0.039934000000002357,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,6125,Value,"",99.896009,I,Imputed value,base year is 2015,Australia,-0.1039909999999935,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,6125,Value,"",99.831953,A,Official figure,base year is 2015,Australia,-0.1680470000000014,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,6125,Value,"",99.863981,I,Imputed value,base year is 2015,Australia,-0.13601900000000455,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,6125,Value,"",99.896009,I,Imputed value,base year is 2015,Australia,-0.1039909999999935,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,6125,Value,"",99.928037,A,Official figure,base year is 2015,Australia,-0.07196299999999667,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,6125,Value,"",100.024122,I,Imputed value,base year is 2015,Australia,0.024122000000005528,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,6125,Value,"",100.120207,I,Imputed value,base year is 2015,Australia,0.12020699999999351,
CP,Consumer Price Indices,36,2015,2015,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,6125,Value,"",100.216291,A,Official figure,base year is 2015,Australia,0.21629099999999823,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,6125,Value,"",100.152235,I,Imputed value,base year is 2015,Australia,0.15223500000000456,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,6125,Value,"",100.088179,I,Imputed value,base year is 2015,Australia,0.08817899999999668,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,6125,Value,"",100.024122,A,Official figure,base year is 2015,Australia,0.024122000000005528,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,6125,Value,"",99.928037,I,Imputed value,base year is 2015,Australia,-0.07196299999999667,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,6125,Value,"",99.831953,I,Imputed value,base year is 2015,Australia,-0.1680470000000014,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,6125,Value,"",99.735868,A,Official figure,base year is 2015,Australia,-0.2641320000000036,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,6125,Value,"",100.312376,I,Imputed value,base year is 2015,Australia,0.31237600000000043,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,6125,Value,"",100.888884,I,Imputed value,base year is 2015,Australia,0.8888840000000044,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,6125,Value,"",101.465392,A,Official figure,base year is 2015,Australia,1.4653919999999943,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,6125,Value,"",101.657561,I,Imputed value,base year is 2015,Australia,1.6575610000000012,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,6125,Value,"",101.84973,I,Imputed value,base year is 2015,Australia,1.8497299999999939,
CP,Consumer Price Indices,36,2016,2016,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,6125,Value,"",102.0419,A,Official figure,base year is 2015,Australia,2.0418999999999983,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,6125,Value,"",101.977843,I,Imputed value,base year is 2015,Australia,1.977842999999993,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,6125,Value,"",101.913787,I,Imputed value,base year is 2015,Australia,1.9137869999999992,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,6125,Value,"",101.84973,A,Official figure,base year is 2015,Australia,1.8497299999999939,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,6125,Value,"",101.785674,I,Imputed value,base year is 2015,Australia,1.7856740000000002,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,6125,Value,"",101.721618,I,Imputed value,base year is 2015,Australia,1.7216180000000065,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,6125,Value,"",101.657561,A,Official figure,base year is 2015,Australia,1.6575610000000012,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,6125,Value,"",101.369307,I,Imputed value,base year is 2015,Australia,1.3693070000000063,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,6125,Value,"",101.081053,I,Imputed value,base year is 2015,Australia,1.0810529999999972,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,6125,Value,"",100.792799,A,Official figure,base year is 2015,Australia,0.7927990000000023,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,6125,Value,"",101.14511,I,Imputed value,base year is 2015,Australia,1.1451100000000025,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,6125,Value,"",101.49742,I,Imputed value,base year is 2015,Australia,1.4974200000000053,
CP,Consumer Price Indices,36,2017,2017,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,6125,Value,"",101.84973,A,Official figure,base year is 2015,Australia,1.8497299999999939,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,6125,Value,"",102.009872,I,Imputed value,base year is 2015,Australia,2.0098720000000014,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,6125,Value,"",102.170013,I,Imputed value,base year is 2015,Australia,2.1700129999999973,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,6125,Value,"",102.330154,A,Official figure,base year is 2015,Australia,2.330153999999993,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,6125,Value,"",102.202041,I,Imputed value,base year is 2015,Australia,2.202040999999994,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,6125,Value,"",102.073928,I,Imputed value,base year is 2015,Australia,2.073927999999995,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,6125,Value,"",101.945815,A,Official figure,base year is 2015,Australia,1.945814999999996,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,6125,Value,"",102.105956,I,Imputed value,base year is 2015,Australia,2.105956000000006,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,6125,Value,"",102.266097,I,Imputed value,base year is 2015,Australia,2.266097000000002,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,6125,Value,"",102.426238,A,Official figure,base year is 2015,Australia,2.426237999999998,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,6125,Value,"",102.746521,I,Imputed value,base year is 2015,Australia,2.7465210000000013,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,6125,Value,"",103.066803,I,Imputed value,base year is 2015,Australia,3.066802999999993,
CP,Consumer Price Indices,36,2018,2018,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,6125,Value,"",103.387085,A,Official figure,base year is 2015,Australia,3.387084999999999,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,6125,Value,"",103.83548,I,Imputed value,base year is 2015,Australia,3.835480000000004,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7002,February,6125,Value,"",104.283875,I,Imputed value,base year is 2015,Australia,4.283874999999995,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7003,March,6125,Value,"",104.73227,A,Official figure,base year is 2015,Australia,4.73227,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7004,April,6125,Value,"",104.604157,I,Imputed value,base year is 2015,Australia,4.604157000000001,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7005,May,6125,Value,"",104.476044,I,Imputed value,base year is 2015,Australia,4.476044000000002,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7006,June,6125,Value,"",104.347931,A,Official figure,base year is 2015,Australia,4.347931000000003,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7007,July,6125,Value,"",104.476044,I,Imputed value,base year is 2015,Australia,4.476044000000002,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7008,August,6125,Value,"",104.604157,I,Imputed value,base year is 2015,Australia,4.604157000000001,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7009,September,6125,Value,"",104.73227,A,Official figure,base year is 2015,Australia,4.73227,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7010,October,6125,Value,"",105.180665,I,Imputed value,base year is 2015,Australia,5.180665000000005,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7011,November,6125,Value,"",105.62906,I,Imputed value,base year is 2015,Australia,5.6290599999999955,
CP,Consumer Price Indices,36,2019,2019,23013,"Consumer Prices, Food Indices (2015 = 100)",7012,December,6125,Value,"",106.077455,A,Official figure,base year is 2015,Australia,6.0774550000000005,
CP,Consumer Price Indices,36,2020,2020,23013,"Consumer Prices, Food Indices (2015 = 100)",7001,January,6125,Value,"",106.750048,I,Imputed value,base year is 2015,Australia,6.750048000000007,
